,, Server Room
92,2023-01-23 21:18:00+00:00,22.625
93,2023-01-23 21:21:00+00:00,22.75
94,2023-01-23 21:24:00+00:00,22.5
95,2023-01-23 21:27:00+00:00,22.5
96,2023-01-23 21:30:00+00:00,22.625
97,2023-01-23 21:33:00+00:00,22.5
98,2023-01-23 21:36:00+00:00,22.5
99,2023-01-23 21:39:00+00:00,22.375
100,2023-01-23 21:42:00+00:00,22.375
101,2023-01-23 21:45:00+00:00,22.625
102,2023-01-23 21:48:00+00:00,22.5
103,2023-01-23 21:51:00+00:00,22.375
104,2023-01-23 21:54:00+00:00,22.25
105,2023-01-23 21:57:00+00:00,22.125
106,2023-01-23 22:00:00+00:00,22.375
107,2023-01-23 22:03:00+00:00,22.375
108,2023-01-23 22:06:00+00:00,22.25
109,2023-01-23 22:09:00+00:00,22.25
110,2023-01-23 22:12:00+00:00,22.375
111,2023-01-23 22:15:00+00:00,22.125
112,2023-01-23 22:18:00+00:00,22.125
113,2023-01-23 22:21:00+00:00,22.0
114,2023-01-23 22:24:00+00:00,22.0
115,2023-01-23 22:27:00+00:00,22.0
116,2023-01-23 22:30:00+00:00,22.0
117,2023-01-23 22:33:00+00:00,22.0
118,2023-01-23 22:36:00+00:00,22.0
119,2023-01-23 22:39:00+00:00,22.125
120,2023-01-23 22:42:00+00:00,22.0
121,2023-01-23 22:45:00+00:00,22.0
122,2023-01-23 22:48:00+00:00,21.875
123,2023-01-23 22:51:00+00:00,22.0
124,2023-01-23 22:54:00+00:00,21.875
125,2023-01-23 22:57:00+00:00,21.875
126,2023-01-23 23:00:00+00:00,21.875
127,2023-01-23 23:03:00+00:00,21.875
128,2023-01-23 23:06:00+00:00,21.875
129,2023-01-23 23:09:00+00:00,21.75
130,2023-01-23 23:12:00+00:00,22.0
131,2023-01-23 23:15:00+00:00,22.0
132,2023-01-23 23:18:00+00:00,21.875
133,2023-01-23 23:21:00+00:00,22.0
134,2023-01-23 23:24:00+00:00,21.625
135,2023-01-23 23:27:00+00:00,22.0
136,2023-01-23 23:30:00+00:00,21.875
137,2023-01-23 23:33:00+00:00,21.875
138,2023-01-23 23:36:00+00:00,21.875
139,2023-01-23 23:39:00+00:00,21.875
140,2023-01-23 23:42:00+00:00,21.75
141,2023-01-23 23:45:00+00:00,21.75
142,2023-01-23 23:48:00+00:00,21.875
143,2023-01-23 23:51:00+00:00,21.875
144,2023-01-23 23:54:00+00:00,21.875
145,2023-01-23 23:57:00+00:00,21.875
146,2023-01-24 00:00:00+00:00,21.625
147,2023-01-24 00:03:00+00:00,21.875
148,2023-01-24 00:06:00+00:00,21.75
149,2023-01-24 00:09:00+00:00,21.875
150,2023-01-24 00:12:00+00:00,21.75
151,2023-01-24 00:15:00+00:00,22.0
152,2023-01-24 00:18:00+00:00,21.875
153,2023-01-24 00:21:00+00:00,21.875
154,2023-01-24 00:24:00+00:00,21.75
155,2023-01-24 00:27:00+00:00,21.875
156,2023-01-24 00:30:00+00:00,21.75
157,2023-01-24 00:33:00+00:00,21.875
158,2023-01-24 00:36:00+00:00,22.0
159,2023-01-24 00:39:00+00:00,21.875
160,2023-01-24 00:42:00+00:00,21.875
161,2023-01-24 00:45:00+00:00,21.875
162,2023-01-24 00:48:00+00:00,21.875
163,2023-01-24 00:51:00+00:00,22.0
164,2023-01-24 00:54:00+00:00,22.0
165,2023-01-24 00:57:00+00:00,22.0
166,2023-01-24 01:00:00+00:00,22.0
167,2023-01-24 01:03:00+00:00,22.0
168,2023-01-24 01:06:00+00:00,21.875
169,2023-01-24 01:09:00+00:00,22.0
170,2023-01-24 01:12:00+00:00,21.875
171,2023-01-24 01:15:00+00:00,21.875
172,2023-01-24 01:18:00+00:00,21.875
173,2023-01-24 01:21:00+00:00,21.875
174,2023-01-24 01:24:00+00:00,21.875
175,2023-01-24 01:27:00+00:00,21.75
176,2023-01-24 01:30:00+00:00,21.875
177,2023-01-24 01:33:00+00:00,21.75
178,2023-01-24 01:36:00+00:00,21.75
179,2023-01-24 01:39:00+00:00,21.875
180,2023-01-24 01:42:00+00:00,21.875
181,2023-01-24 01:45:00+00:00,21.75
182,2023-01-24 01:48:00+00:00,21.625
183,2023-01-24 01:51:00+00:00,21.75
184,2023-01-24 01:54:00+00:00,21.75
185,2023-01-24 01:57:00+00:00,21.625
186,2023-01-24 02:00:00+00:00,21.625
187,2023-01-24 02:03:00+00:00,21.5
188,2023-01-24 02:06:00+00:00,21.75
189,2023-01-24 02:09:00+00:00,22.125
190,2023-01-24 02:12:00+00:00,22.0
191,2023-01-24 02:15:00+00:00,22.0
192,2023-01-24 02:18:00+00:00,22.0
193,2023-01-24 02:21:00+00:00,22.0
194,2023-01-24 02:24:00+00:00,22.125
195,2023-01-24 02:27:00+00:00,22.25
196,2023-01-24 02:30:00+00:00,22.125
197,2023-01-24 02:33:00+00:00,22.125
198,2023-01-24 02:36:00+00:00,22.125
199,2023-01-24 02:39:00+00:00,22.125
200,2023-01-24 02:42:00+00:00,22.25
201,2023-01-24 02:45:00+00:00,22.25
202,2023-01-24 02:48:00+00:00,22.25
203,2023-01-24 02:51:00+00:00,22.375
204,2023-01-24 02:54:00+00:00,22.25
205,2023-01-24 02:57:00+00:00,22.375
206,2023-01-24 03:00:00+00:00,22.375
207,2023-01-24 03:03:00+00:00,22.25
208,2023-01-24 03:06:00+00:00,22.25
209,2023-01-24 03:09:00+00:00,22.25
210,2023-01-24 03:12:00+00:00,22.5
211,2023-01-24 03:15:00+00:00,22.25
212,2023-01-24 03:18:00+00:00,22.375
213,2023-01-24 03:21:00+00:00,22.375
214,2023-01-24 03:24:00+00:00,22.375
215,2023-01-24 03:27:00+00:00,22.375
216,2023-01-24 03:30:00+00:00,22.25
217,2023-01-24 03:33:00+00:00,22.375
218,2023-01-24 03:36:00+00:00,22.375
219,2023-01-24 03:39:00+00:00,22.125
220,2023-01-24 03:42:00+00:00,22.25
221,2023-01-24 03:45:00+00:00,22.25
222,2023-01-24 03:48:00+00:00,22.25
223,2023-01-24 03:51:00+00:00,22.125
224,2023-01-24 03:54:00+00:00,22.125
225,2023-01-24 03:57:00+00:00,22.0
226,2023-01-24 04:00:00+00:00,22.0
227,2023-01-24 04:03:00+00:00,22.0
228,2023-01-24 04:06:00+00:00,22.0
229,2023-01-24 04:09:00+00:00,21.875
230,2023-01-24 04:12:00+00:00,22.0
231,2023-01-24 04:15:00+00:00,22.0
232,2023-01-24 04:18:00+00:00,21.875
233,2023-01-24 04:21:00+00:00,21.875
234,2023-01-24 04:24:00+00:00,22.0
235,2023-01-24 04:27:00+00:00,22.0
236,2023-01-24 04:30:00+00:00,22.0
237,2023-01-24 04:33:00+00:00,22.0
238,2023-01-24 04:36:00+00:00,21.875
239,2023-01-24 04:39:00+00:00,21.875
240,2023-01-24 04:42:00+00:00,21.875
241,2023-01-24 04:45:00+00:00,21.75
242,2023-01-24 04:48:00+00:00,21.75
243,2023-01-24 04:51:00+00:00,21.875
244,2023-01-24 04:54:00+00:00,21.625
245,2023-01-24 04:57:00+00:00,22.0
246,2023-01-24 05:00:00+00:00,22.0
247,2023-01-24 05:03:00+00:00,21.875
248,2023-01-24 05:06:00+00:00,22.0
249,2023-01-24 05:09:00+00:00,22.125
250,2023-01-24 05:12:00+00:00,22.125
251,2023-01-24 05:15:00+00:00,22.125
252,2023-01-24 05:18:00+00:00,22.125
253,2023-01-24 05:21:00+00:00,22.25
254,2023-01-24 05:24:00+00:00,22.125
255,2023-01-24 05:27:00+00:00,22.125
256,2023-01-24 05:30:00+00:00,22.125
257,2023-01-24 05:33:00+00:00,22.25
258,2023-01-24 05:36:00+00:00,22.25
259,2023-01-24 05:39:00+00:00,22.125
260,2023-01-24 05:42:00+00:00,22.375
261,2023-01-24 05:45:00+00:00,22.375
262,2023-01-24 05:48:00+00:00,22.25
263,2023-01-24 05:51:00+00:00,22.5
264,2023-01-24 05:54:00+00:00,22.375
265,2023-01-24 05:57:00+00:00,22.125
266,2023-01-24 06:00:00+00:00,22.0
267,2023-01-24 06:03:00+00:00,22.125
268,2023-01-24 06:06:00+00:00,22.125
269,2023-01-24 06:09:00+00:00,22.125
270,2023-01-24 06:12:00+00:00,22.125
271,2023-01-24 06:15:00+00:00,22.25
272,2023-01-24 06:18:00+00:00,22.25
273,2023-01-24 06:21:00+00:00,22.125
274,2023-01-24 06:24:00+00:00,22.125
275,2023-01-24 06:27:00+00:00,22.125
276,2023-01-24 06:30:00+00:00,22.125
277,2023-01-24 06:33:00+00:00,22.0
278,2023-01-24 06:36:00+00:00,22.125
279,2023-01-24 06:39:00+00:00,22.25
280,2023-01-24 06:42:00+00:00,22.375
281,2023-01-24 06:45:00+00:00,22.25
282,2023-01-24 06:48:00+00:00,22.375
283,2023-01-24 06:51:00+00:00,22.5
284,2023-01-24 06:54:00+00:00,22.375
285,2023-01-24 06:57:00+00:00,22.375
286,2023-01-24 07:00:00+00:00,22.25
287,2023-01-24 07:03:00+00:00,22.375
288,2023-01-24 07:06:00+00:00,22.375
289,2023-01-24 07:09:00+00:00,22.375
290,2023-01-24 07:12:00+00:00,22.25
291,2023-01-24 07:15:02+00:00,22.25
292,2023-01-24 07:18:01+00:00,22.25
293,2023-01-24 07:21:00+00:00,22.125
294,2023-01-24 07:24:00+00:00,22.375
295,2023-01-24 07:27:00+00:00,22.25
296,2023-01-24 07:30:00+00:00,22.125
297,2023-01-24 07:33:00+00:00,22.0
298,2023-01-24 07:36:00+00:00,22.0
299,2023-01-24 07:39:00+00:00,21.875
300,2023-01-24 07:42:01+00:00,21.875
301,2023-01-24 07:45:00+00:00,22.0
302,2023-01-24 07:48:00+00:00,21.75
303,2023-01-24 07:51:00+00:00,21.875
304,2023-01-24 07:54:00+00:00,21.75
305,2023-01-24 07:57:00+00:00,21.875
306,2023-01-24 08:00:00+00:00,22.0
307,2023-01-24 08:03:00+00:00,22.0
308,2023-01-24 08:06:00+00:00,22.125
309,2023-01-24 08:09:09+00:00,22.0
310,2023-01-24 08:12:02+00:00,22.125
311,2023-01-24 08:14:57+00:00,22.25
312,2023-01-24 08:15:00+00:00,22.25
313,2023-01-24 08:18:00+00:00,22.25
314,2023-01-24 08:21:00+00:00,22.375
315,2023-01-24 08:24:00+00:00,22.375
316,2023-01-24 08:27:00+00:00,22.25
317,2023-01-24 08:30:00+00:00,22.0
318,2023-01-24 08:33:00+00:00,22.25
319,2023-01-24 08:36:00+00:00,22.25
320,2023-01-24 08:39:00+00:00,22.5
321,2023-01-24 08:42:00+00:00,22.375
322,2023-01-24 08:45:00+00:00,22.5
323,2023-01-24 08:48:00+00:00,22.625
324,2023-01-24 08:51:00+00:00,22.375
325,2023-01-24 08:54:00+00:00,22.25
326,2023-01-24 08:57:00+00:00,22.25
327,2023-01-24 09:00:00+00:00,22.5
328,2023-01-24 09:03:00+00:00,22.25
329,2023-01-24 09:06:00+00:00,22.125
330,2023-01-24 09:09:00+00:00,22.25
331,2023-01-24 09:12:00+00:00,22.375
332,2023-01-24 09:15:00+00:00,22.375
333,2023-01-24 09:18:00+00:00,22.375
334,2023-01-24 09:21:00+00:00,22.375
335,2023-01-24 09:24:00+00:00,22.375
336,2023-01-24 09:27:00+00:00,22.375
337,2023-01-24 09:30:00+00:00,22.375
338,2023-01-24 09:33:00+00:00,22.5
339,2023-01-24 09:36:00+00:00,22.625
340,2023-01-24 09:39:00+00:00,22.75
341,2023-01-24 09:42:00+00:00,22.75
342,2023-01-24 09:45:00+00:00,22.75
343,2023-01-24 09:48:00+00:00,22.875
344,2023-01-24 09:51:00+00:00,22.75
345,2023-01-24 09:54:00+00:00,22.5
346,2023-01-24 09:57:00+00:00,22.375
347,2023-01-24 10:00:00+00:00,22.625
348,2023-01-24 10:03:00+00:00,22.75
349,2023-01-24 10:06:00+00:00,22.75
350,2023-01-24 10:09:00+00:00,22.5
351,2023-01-24 10:12:00+00:00,22.25
352,2023-01-24 10:15:00+00:00,22.375
353,2023-01-24 10:18:00+00:00,22.5
354,2023-01-24 10:21:00+00:00,22.75
355,2023-01-24 10:24:00+00:00,22.75
356,2023-01-24 10:27:00+00:00,22.75
357,2023-01-24 10:30:00+00:00,22.875
358,2023-01-24 10:33:00+00:00,22.875
359,2023-01-24 10:36:00+00:00,23.0
360,2023-01-24 10:39:00+00:00,23.0
361,2023-01-24 10:42:00+00:00,23.125
362,2023-01-24 10:45:00+00:00,23.0
363,2023-01-24 10:48:00+00:00,22.625
364,2023-01-24 10:51:00+00:00,22.75
365,2023-01-24 10:54:00+00:00,22.875
366,2023-01-24 10:57:00+00:00,22.875
367,2023-01-24 11:00:00+00:00,22.625
368,2023-01-24 11:03:00+00:00,22.5
369,2023-01-24 11:06:00+00:00,22.75
370,2023-01-24 11:09:00+00:00,22.5
371,2023-01-24 11:12:00+00:00,22.25
372,2023-01-24 11:15:00+00:00,22.375
373,2023-01-24 11:18:00+00:00,22.375
374,2023-01-24 11:21:00+00:00,22.5
375,2023-01-24 11:24:00+00:00,22.75
376,2023-01-24 11:27:00+00:00,22.375
377,2023-01-24 11:30:00+00:00,22.25
378,2023-01-24 11:33:00+00:00,22.5
379,2023-01-24 11:36:00+00:00,22.5
380,2023-01-24 11:39:00+00:00,22.625
381,2023-01-24 11:42:00+00:00,22.625
382,2023-01-24 11:45:00+00:00,22.625
383,2023-01-24 11:48:00+00:00,22.75
384,2023-01-24 11:51:00+00:00,22.75
385,2023-01-24 11:54:00+00:00,22.375
386,2023-01-24 11:57:00+00:00,22.375
387,2023-01-24 12:00:00+00:00,22.5
388,2023-01-24 12:03:00+00:00,22.625
389,2023-01-24 12:06:00+00:00,22.75
390,2023-01-24 12:09:00+00:00,22.5
391,2023-01-24 12:12:00+00:00,22.25
392,2023-01-24 12:15:00+00:00,22.375
393,2023-01-24 12:18:00+00:00,22.5
394,2023-01-24 12:21:00+00:00,22.625
395,2023-01-24 12:24:00+00:00,22.625
396,2023-01-24 12:27:00+00:00,22.75
397,2023-01-24 12:30:00+00:00,22.375
398,2023-01-24 12:33:00+00:00,22.25
399,2023-01-24 12:36:00+00:00,22.375
400,2023-01-24 12:39:00+00:00,22.5
401,2023-01-24 12:42:00+00:00,22.625
402,2023-01-24 12:45:00+00:00,22.75
403,2023-01-24 12:48:00+00:00,22.375
404,2023-01-24 12:51:00+00:00,22.375
405,2023-01-24 12:54:00+00:00,22.25
406,2023-01-24 12:57:00+00:00,22.5
407,2023-01-24 13:00:00+00:00,22.625
408,2023-01-24 13:03:00+00:00,22.5
409,2023-01-24 13:06:00+00:00,22.75
410,2023-01-24 13:09:00+00:00,22.5
411,2023-01-24 13:12:00+00:00,22.375
412,2023-01-24 13:15:00+00:00,22.5
413,2023-01-24 13:18:00+00:00,22.625
414,2023-01-24 13:21:00+00:00,22.625
415,2023-01-24 13:24:00+00:00,22.375
416,2023-01-24 13:27:00+00:00,22.25
417,2023-01-24 13:30:00+00:00,22.375
418,2023-01-24 13:33:00+00:00,22.625
419,2023-01-24 13:36:00+00:00,22.5
420,2023-01-24 13:39:00+00:00,22.75
421,2023-01-24 13:42:00+00:00,22.5
422,2023-01-24 13:45:00+00:00,22.625
423,2023-01-24 13:48:00+00:00,22.625
424,2023-01-24 13:51:00+00:00,22.75
425,2023-01-24 13:54:00+00:00,22.75
426,2023-01-24 13:57:00+00:00,22.875
427,2023-01-24 14:00:00+00:00,22.75
428,2023-01-24 14:03:00+00:00,22.75
429,2023-01-24 14:06:00+00:00,22.875
430,2023-01-24 14:09:00+00:00,22.875
431,2023-01-24 14:12:00+00:00,22.75
432,2023-01-24 14:15:00+00:00,22.75
433,2023-01-24 14:18:00+00:00,22.75
434,2023-01-24 14:21:00+00:00,23.0
435,2023-01-24 14:24:00+00:00,22.625
436,2023-01-24 14:27:00+00:00,22.5
437,2023-01-24 14:30:00+00:00,22.5
438,2023-01-24 14:33:00+00:00,22.75
439,2023-01-24 14:36:00+00:00,22.75
440,2023-01-24 14:39:00+00:00,22.625
441,2023-01-24 14:42:00+00:00,22.875
442,2023-01-24 14:45:00+00:00,22.875
443,2023-01-24 14:48:00+00:00,22.875
444,2023-01-24 14:51:00+00:00,22.875
445,2023-01-24 14:54:00+00:00,22.875
446,2023-01-24 14:57:00+00:00,23.0
447,2023-01-24 15:00:00+00:00,23.0
448,2023-01-24 15:03:00+00:00,23.0
449,2023-01-24 15:06:00+00:00,23.125
450,2023-01-24 15:09:00+00:00,23.125
451,2023-01-24 15:12:00+00:00,23.125
452,2023-01-24 15:15:00+00:00,22.75
453,2023-01-24 15:18:00+00:00,22.75
454,2023-01-24 15:21:00+00:00,22.875
455,2023-01-24 15:24:00+00:00,23.0
456,2023-01-24 15:27:00+00:00,23.125
457,2023-01-24 15:30:00+00:00,23.0
458,2023-01-24 15:33:00+00:00,22.875
459,2023-01-24 15:36:00+00:00,22.75
460,2023-01-24 15:39:00+00:00,22.875
461,2023-01-24 15:42:00+00:00,22.875
462,2023-01-24 15:45:00+00:00,23.0
463,2023-01-24 15:48:00+00:00,22.875
464,2023-01-24 15:51:00+00:00,23.0
465,2023-01-24 15:54:00+00:00,23.25
466,2023-01-24 15:57:00+00:00,23.25
467,2023-01-24 16:00:00+00:00,22.875
468,2023-01-24 16:03:00+00:00,22.75
469,2023-01-24 16:06:00+00:00,23.0
470,2023-01-24 16:09:00+00:00,22.75
471,2023-01-24 16:12:00+00:00,22.625
472,2023-01-24 16:15:00+00:00,22.75
473,2023-01-24 16:18:00+00:00,22.75
474,2023-01-24 16:21:00+00:00,22.5
475,2023-01-24 16:24:00+00:00,22.625
476,2023-01-24 16:27:00+00:00,22.375
477,2023-01-24 16:30:00+00:00,22.375
478,2023-01-24 16:33:00+00:00,22.5
479,2023-01-24 16:36:00+00:00,22.125
480,2023-01-24 16:39:00+00:00,22.375
481,2023-01-24 16:42:00+00:00,22.375
482,2023-01-24 16:45:00+00:00,22.25
483,2023-01-24 16:48:00+00:00,22.25
484,2023-01-24 16:51:00+00:00,22.25
485,2023-01-24 16:54:00+00:00,22.125
486,2023-01-24 16:57:00+00:00,22.125
487,2023-01-24 17:00:00+00:00,22.375
488,2023-01-24 17:03:00+00:00,22.125
489,2023-01-24 17:06:00+00:00,22.125
490,2023-01-24 17:09:00+00:00,22.0
491,2023-01-24 17:12:00+00:00,22.0
492,2023-01-24 17:15:00+00:00,22.125
493,2023-01-24 17:18:00+00:00,22.125
494,2023-01-24 17:21:00+00:00,21.875
495,2023-01-24 17:24:00+00:00,22.125
496,2023-01-24 17:27:00+00:00,22.125
497,2023-01-24 17:30:00+00:00,22.0
498,2023-01-24 17:33:00+00:00,22.125
499,2023-01-24 17:36:00+00:00,22.125
